ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.6.239.113,acp1,0,status,1,IP,ipaddr,R--,0.0.0.0,,,0,4294967295,,0,,,,,,,
10.6.239.113,acp1,0,status,2,NM,ipaddr,R--,0.0.0.0,,,0,4294967295,,0,,,,,,,
10.6.239.113,acp1,0,status,3,GW,ipaddr,R--,0.0.0.0,,,0,4294967295,,0,,,,,,,
10.6.239.113,acp1,0,status,4,PSU_Top,enum,R--,1,OK,,,,,1,NA|OK,,,,,,
10.6.239.113,acp1,0,status,5,PSU_Bottom,enum,R--,1,OK,,,,,1,NA|OK,,,,,,
10.6.239.113,acp1,0,status,6,Temp_Left,int,R--,24,,deg.C,-128,127,1,24,,,,,,,
10.6.239.113,acp1,0,status,7,Temp_Right,int,R--,27,,deg.C,-128,127,1,27,,,,,,,
10.6.239.113,acp1,0,status,8,SPF_Progress,float,R--,0,,%,0,100,1,0,,,,,,,
10.6.239.113,acp1,0,status,9,SPF_Status,enum,R--,0,Idle,,,,,0,Idle|Busy|Done|Error,,,,,,
10.6.239.113,acp1,0,status,10,Rx_Packet_Loss,int,R--,0,,,0,32767,1,0,,,,,,,
10.6.239.113,acp1,0,status,11,Redund_Ref_Pwr,enum,R--,0,NA,,,,,0,NA|OK,,,,,,
10.6.239.113,acp1,0,status,12,MIB_S0,string,R--,RRS18v16   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,13,MIB_S1,string,R--,CDV08v06   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,14,MIB_S2,string,R--,ASV10v12   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,15,MIB_S3,string,R--,ADC24v07   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,16,MIB_S4,string,R--,ADC24v07   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,17,MIB_S5,string,R--,ASM10v03   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,18,MIB_S6,string,R--,ADC24v07   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,19,MIB_S7,string,R--,ADC24v07   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,20,MIB_S8,string,R--,SDR08v05   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,21,MIB_S9,string,R--,SIM21v04   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,22,MIB_S10,string,R--,SAM08v07   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,23,MIB_S11,string,R--,DAC24v04   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,24,MIB_S12,string,R--,AAD08v02   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,25,MIB_S13,string,R--,AAD08v04   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,26,MIB_S14,string,R--,empty,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,27,MIB_S15,string,R--,empty,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,28,MIB_S16,string,R--,empty,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,29,MIB_S17,string,R--,empty,,,,,,,,11,,,,,
10.6.239.113,acp1,0,status,30,MIB_S18,string,R--,HQW09v22   ,,,,,,,,11,,,,,
10.6.239.113,acp1,0,alarm,0,Announcements,alarm,RW-,1,,,,,,,,,1,0x00,,,
10.6.239.113,acp1,0,alarm,1,PSU_T,alarm,RW-,0,,,,,,,,,0,0x00,,,
10.6.239.113,acp1,0,alarm,2,PSU_B,alarm,RW-,0,,,,,,,,,0,0x00,,,
10.6.239.113,acp1,0,alarm,3,Temperature,alarm,RW-,0,,,,,,,,,0,0x00,,,
10.6.239.113,acp1,0,alarm,4,Ref_Backup,alarm,RW-,0,,,,,,,,,0,0x00,,,
10.6.239.113,acp1,0,alarm,5,Card-Presence,alarm,RW-,0,,,,,,,,,0,0x00,,,
10.6.239.113,acp1,9,identity,0,Card name,string,R--,SDB20,,,,,,,,8,,,,,
10.6.239.113,acp1,9,identity,1,User label,string,RW-,Audio De-embedder,,,,,,,,16,,,,,
10.6.239.113,acp1,9,identity,2,Card description,string,R--,SDB20-0806.html,,,,,,,,32,,,,,
10.6.239.113,acp1,9,identity,3,Software rev,string,R--,0806,,,,,,,,4,,,,,
10.6.239.113,acp1,9,identity,4,Hardware rev,string,R--,0101,,,,,,,,4,,,,,
10.6.239.113,acp1,9,identity,5,Product code,string,R--,9460020001,,,,,,,,10,,,,,
10.6.239.113,acp1,9,identity,6,Serial number,string,R--,000604,,,,,,,,6,,,,,
10.6.239.113,acp1,9,identity,7,Card ID,string,R--,71ef060a0000001f,,,,,,,,16,,,,,
10.6.239.113,acp1,9,control,0,Out_1,enum,RW-,0,Ch_1,,,,,0,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,1,Out_2,enum,RW-,1,Ch_2,,,,,1,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,2,Out_3,enum,RW-,2,Ch_3,,,,,2,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,3,Out_4,enum,RW-,3,Ch_4,,,,,3,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,4,AddOn_A1,enum,RW-,4,Ch_5,,,,,4,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,5,AddOn_A2,enum,RW-,5,Ch_6,,,,,5,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,6,AddOn_A3,enum,RW-,6,Ch_7,,,,,6,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,7,AddOn_A4,enum,RW-,7,Ch_8,,,,,7,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,8,AddOn_B1,enum,RW-,8,Ch_9,,,,,8,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,9,AddOn_B2,enum,RW-,9,Ch_10,,,,,9,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,10,AddOn_B3,enum,RW-,10,Ch_11,,,,,10,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,11,AddOn_B4,enum,RW-,11,Ch_12,,,,,11,Ch_1|Ch_2|Ch_3|Ch_4|Ch_5|Ch_6|Ch_7|Ch_8|Ch_9|Ch_10|Ch_11|Ch_12|Ch_13|Ch_14|Ch_15|Ch_16,,,,,,
10.6.239.113,acp1,9,control,12,Gain-Ch_1,float,RW-,0,,dB,-999,12,1,0,,,,,,,
10.6.239.113,acp1,9,control,13,Gain-Ch_2,float,RW-,0,,dB,-999,12,1,0,,,,,,,
10.6.239.113,acp1,9,control,14,Gain-Ch_3,float,RW-,0,,dB,-999,12,1,0,,,,,,,
10.6.239.113,acp1,9,control,15,Gain-Ch_4,float,RW-,0,,dB,-999,12,1,0,,,,,,,
10.6.239.113,acp1,9,control,16,Phase-Ch_1,enum,RW-,0,0 deg,,,,,0,0 deg|180 deg,,,,,,
10.6.239.113,acp1,9,control,17,Phase-Ch_2,enum,RW-,0,0 deg,,,,,0,0 deg|180 deg,,,,,,
10.6.239.113,acp1,9,control,18,Phase-Ch_3,enum,RW-,0,0 deg,,,,,0,0 deg|180 deg,,,,,,
10.6.239.113,acp1,9,control,19,Phase-Ch_4,enum,RW-,0,0 deg,,,,,0,0 deg|180 deg,,,,,,
10.6.239.113,acp1,9,control,20,Out_1/2,enum,RW-,0,Stereo,,,,,0,Stereo|Mono,,,,,,
10.6.239.113,acp1,9,control,21,Out_3/4,enum,RW-,0,Stereo,,,,,0,Stereo|Mono,,,,,,
10.6.239.113,acp1,9,control,22,EDH-Det,enum,RW-,0,Active-P,,,,,0,Active-P|Full-F,,,,,,
10.6.239.113,acp1,9,status,0,SDI-Input,enum,R--,0,NA,,,,,0,NA|Present,,,,,,
10.6.239.113,acp1,9,status,1,GrpInUse,enum,R--,0,____,,,,,0,____|1___|_2__|12__|__3_|1_3_|_23_|123_|___4|1__4|_2_4|12_4|__34|1_34|_234|1234,,,,,,
10.6.239.113,acp1,9,status,2,Audio-Ch_1,enum,R--,1,NA,,,,,1,NA|NA|Ok|Clipped,,,,,,
10.6.239.113,acp1,9,status,3,Audio-Ch_2,enum,R--,1,NA,,,,,1,NA|NA|Ok|Clipped,,,,,,
10.6.239.113,acp1,9,status,4,Audio-Ch_3,enum,R--,1,NA,,,,,1,NA|NA|Ok|Clipped,,,,,,
10.6.239.113,acp1,9,status,5,Audio-Ch_4,enum,R--,1,NA,,,,,1,NA|NA|Ok|Clipped,,,,,,
10.6.239.113,acp1,9,status,6,Audio_A1,enum,R--,0,NA,,,,,0,NA|Ok,,,,,,
10.6.239.113,acp1,9,status,7,Audio_A2,enum,R--,0,NA,,,,,0,NA|Ok,,,,,,
10.6.239.113,acp1,9,status,8,Audio_A3,enum,R--,0,NA,,,,,0,NA|Ok,,,,,,
10.6.239.113,acp1,9,status,9,Audio_A4,enum,R--,0,NA,,,,,0,NA|Ok,,,,,,
10.6.239.113,acp1,9,status,10,Audio_B1,enum,R--,0,NA,,,,,0,NA|Ok,,,,,,
10.6.239.113,acp1,9,status,11,Audio_B2,enum,R--,0,NA,,,,,0,NA|Ok,,,,,,
10.6.239.113,acp1,9,status,12,Audio_B3,enum,R--,0,NA,,,,,0,NA|Ok,,,,,,
10.6.239.113,acp1,9,status,13,Audio_B4,enum,R--,0,NA,,,,,0,NA|Ok,,,,,,
10.6.239.113,acp1,9,status,14,ANC-Stat,enum,R--,1,NA,,,,,1,NA|NA|Ok|Error,,,,,,
10.6.239.113,acp1,9,status,15,EDH-Stat,enum,R--,0,Ok,,,,,0,Ok|UES|EDA|EDH,,,,,,
10.6.239.113,acp1,9,status,16,FPGA-Stat,enum,R--,0,Ok,,,,,0,Ok|Error,,,,,,
10.6.239.113,acp1,9,alarm,0,Announcements,alarm,RW-,1,,,,,,,,,1,0x00,,,
10.6.239.113,acp1,9,alarm,1,Input,alarm,RW-,0,,,,,,,,,0,0x00,,,
10.6.239.113,acp1,9,alarm,2,EDH-Status,alarm,RW-,0,,,,,,,,,0,0x00,,,
10.6.239.113,acp1,9,alarm,3,ANC-Status,alarm,RW-,0,,,,,,,,,0,0x00,,,
