ip,protocol,endpoint,path,kind,value,min,max,description,unit,enum
10.6.40.53,mnset,flows,[25],string,8dafec9e-7736-3d76-88b1-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[26],string,ed9f5fad-7a26-4f5a-a41d-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[27],string,27ffd126-efd9-38d4-a5e0-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[28],string,ffeda7e0-f3fd-384c-8bbd-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[29],string,3fffa216-3797-2225-9a2f-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[30],string,7b7e03c2-f77f-2a88-8dbf-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[31],string,7bbfebfa-6aef-2145-862b-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[32],string,6dfdea3a-67ff-14af-85e4-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[33],string,ffdd96d3-d69e-4113-abd1-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[34],string,dff73729-d74c-1422-926a-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[35],string,b7bb9127-f91f-4472-9efc-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[36],string,dab60e02-fcff-4638-a8c2-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[37],string,46add1c4-e94f-1f35-8b58-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[38],string,7c71d66c-6fff-449a-8e52-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[39],string,5bef3530-7bfe-4990-a75f-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[40],string,7feb2cef-07f3-4699-99d2-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[41],string,8e9fc891-7eb1-3ff6-9e58-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[42],string,6bb4c505-fb9b-3d69-8735-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[43],string,1d77af81-bef7-26a8-9001-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[44],string,37bf4d25-83ea-4067-839f-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[45],string,7fedd710-ffb3-47c5-989f-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[46],string,6ede0bce-3bda-1419-9fd9-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[47],string,fbf77394-6ff7-2910-a02f-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[48],string,17ce716b-7fdd-2c9b-ac83-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[49],string,c9ce2999-bfbe-1bf8-8e9a-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[50],string,7d775931-bcdd-1cf5-96df-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[51],string,637b79c3-7fff-353e-adeb-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[52],string,38c22604-5ffb-2356-8397-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[53],string,f777c9b8-ffc5-262a-8958-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[54],string,df778fb6-7fbe-39c8-8da7-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[55],string,fceda28a-7ffe-475a-aded-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[56],string,ffdd4795-cbb1-37da-84d6-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[57],string,4fff80ef-fee7-11d5-9f84-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[58],string,5edfa839-fffd-4a61-8ee5-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[59],string,1bda7dd6-fbfd-3d93-aeba-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[60],string,76ff49e4-653b-2ae9-81cb-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[61],string,2f1f9167-6f7b-43b3-a43b-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[62],string,3f7afc73-eb7d-3777-a0ec-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[63],string,7da317a2-a7df-2c96-839d-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[64],string,7efd3487-5fdf-3d10-84ad-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[65],string,f2fa0515-ffd7-4ff6-ac4f-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[66],string,3d730dd7-fef4-3cac-a851-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[67],string,3c963a9c-fdee-308d-a176-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[68],string,335e683d-df3f-33d2-9eac-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[69],string,bbfc7914-7b77-49bc-8c7a-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[70],string,ff6d0252-fdd9-4d1e-9a1a-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[71],string,9b6f8cb9-77ff-3ed1-91c1-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[72],string,6fbf2b5d-fffb-3539-a848-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[73],string,ff67bfec-930f-3acf-82c0-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[74],string,f67f0627-e9df-1a25-84c2-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[75],string,b535487d-faf9-267c-9316-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[76],string,6ecf8d4d-3fbf-3239-86b3-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[77],string,4fa39788-fc17-2893-92d4-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[78],string,3b7be7d4-5b79-453a-998e-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[79],string,6baf596c-1f5c-2af8-a428-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[80],string,786c9dcb-7763-143b-984f-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[81],string,fee88f23-ff4b-1c26-8a2f-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[82],string,75ff759f-be7f-1adf-a434-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[83],string,f26e9450-d7f5-2731-a46e-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[84],string,79bf3844-7ff7-26ba-ad2b-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[85],string,7de7819e-1fef-3668-ad3c-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[86],string,27ff6a70-ef5f-2350-ab48-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[87],string,dfde3ea5-beda-141b-abe9-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[88],string,7fbdf8ec-f3fe-4be8-a625-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[89],string,fabfe4c6-5efd-34a6-804e-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[90],string,ffe5e2ed-f9f7-4a44-ad78-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[91],string,7fffee94-716f-36f1-8a47-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[92],string,7ff7bdc5-77fd-11df-a3ad-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[93],string,1eceadfb-dddf-241a-9676-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[94],string,ff6cacf3-f7bd-39f4-9b57-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[95],string,6f3f8517-1fbe-3837-a880-40a36ba2100c/,,,,,
10.6.40.53,mnset,sources,[0].version,string,2,,,,,
10.6.40.53,mnset,sources,[0].label,string,Source 1-1,,,,,
10.6.40.53,mnset,sources,[0].id,uuid,bbfd4327-f7ff-3142-91d6-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[0].device_id,uuid,fb3e708e-ef8e-43e6-8dfb-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[1].version,string,2,,,,,
10.6.40.53,mnset,sources,[1].label,string,Source 1-2,,,,,
10.6.40.53,mnset,sources,[1].id,uuid,babdce60-e0df-4bbd-9bbf-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[1].device_id,uuid,fb3e708e-ef8e-43e6-8dfb-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[2].version,string,2,,,,,
10.6.40.53,mnset,sources,[2].label,string,Source 1-3,,,,,
10.6.40.53,mnset,sources,[2].id,uuid,77feceda-3777-38bd-a565-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[2].device_id,uuid,fb3e708e-ef8e-43e6-8dfb-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[3].version,string,2,,,,,
10.6.40.53,mnset,sources,[3].label,string,Source 1-4,,,,,
10.6.40.53,mnset,sources,[3].id,uuid,57cd661c-bff4-464d-8081-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[3].device_id,uuid,fb3e708e-ef8e-43e6-8dfb-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[4].version,string,2,,,,,
10.6.40.53,mnset,sources,[4].label,string,Source 1-5,,,,,
10.6.40.53,mnset,sources,[4].id,uuid,ff755af5-6b7d-3263-9e54-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[4].device_id,uuid,fb3e708e-ef8e-43e6-8dfb-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[5].version,string,2,,,,,
10.6.40.53,mnset,sources,[5].label,string,Source 1-6,,,,,
10.6.40.53,mnset,sources,[5].id,uuid,f39de4cc-7eed-2a1d-a457-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[5].device_id,uuid,fb3e708e-ef8e-43e6-8dfb-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[6].version,string,2,,,,,
10.6.40.53,mnset,sources,[6].label,string,Source 2-1,,,,,
10.6.40.53,mnset,sources,[6].id,uuid,7fff3e60-bd7e-38d3-9c12-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[6].device_id,uuid,6db829e3-dde7-43fc-83df-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[7].version,string,2,,,,,
10.6.40.53,mnset,sources,[7].label,string,Source 2-2,,,,,
10.6.40.53,mnset,sources,[7].id,uuid,7de518ac-2839-17c5-875d-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[7].device_id,uuid,6db829e3-dde7-43fc-83df-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[8].version,string,2,,,,,
10.6.40.53,mnset,sources,[8].label,string,Source 2-3,,,,,
10.6.40.53,mnset,sources,[8].id,uuid,9b6e7a9d-ebb7-219f-acaa-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[8].device_id,uuid,6db829e3-dde7-43fc-83df-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[9].version,string,2,,,,,
10.6.40.53,mnset,sources,[9].label,string,Source 2-4,,,,,
10.6.40.53,mnset,sources,[9].id,uuid,eeffeb12-dc77-19e7-838e-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[9].device_id,uuid,6db829e3-dde7-43fc-83df-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[10].version,string,2,,,,,
10.6.40.53,mnset,sources,[10].label,string,Source 2-5,,,,,
10.6.40.53,mnset,sources,[10].id,uuid,fefeb2c3-55f7-27fa-95cd-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[10].device_id,uuid,6db829e3-dde7-43fc-83df-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[11].version,string,2,,,,,
10.6.40.53,mnset,sources,[11].label,string,Source 2-6,,,,,
10.6.40.53,mnset,sources,[11].id,uuid,3e6e8250-fdbc-4f0f-9acf-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[11].device_id,uuid,6db829e3-dde7-43fc-83df-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[12].version,string,2,,,,,
10.6.40.53,mnset,sources,[12].label,string,Source 3-1,,,,,
10.6.40.53,mnset,sources,[12].id,uuid,7f74e50b-afe1-3ab6-92e1-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[12].device_id,uuid,77ff2b49-776f-1127-9603-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[13].version,string,2,,,,,
10.6.40.53,mnset,sources,[13].label,string,Source 3-2,,,,,
10.6.40.53,mnset,sources,[13].id,uuid,178673da-7efe-3dbc-9088-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[13].device_id,uuid,77ff2b49-776f-1127-9603-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[14].version,string,2,,,,,
10.6.40.53,mnset,sources,[14].label,string,Source 3-3,,,,,
10.6.40.53,mnset,sources,[14].id,uuid,f9fd4da7-76de-2440-a183-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[14].device_id,uuid,77ff2b49-776f-1127-9603-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[15].version,string,2,,,,,
10.6.40.53,mnset,sources,[15].label,string,Source 3-4,,,,,
10.6.40.53,mnset,sources,[15].id,uuid,2fad1b54-f63f-2f1f-9be6-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[15].device_id,uuid,77ff2b49-776f-1127-9603-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[16].version,string,2,,,,,
10.6.40.53,mnset,sources,[16].label,string,Source 3-5,,,,,
10.6.40.53,mnset,sources,[16].id,uuid,25be725c-6f7e-10a7-abc8-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[16].device_id,uuid,77ff2b49-776f-1127-9603-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[17].version,string,2,,,,,
10.6.40.53,mnset,sources,[17].label,string,Source 3-6,,,,,
10.6.40.53,mnset,sources,[17].id,uuid,7bffada7-7fbb-4560-ad84-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[17].device_id,uuid,77ff2b49-776f-1127-9603-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[18].version,string,2,,,,,
10.6.40.53,mnset,sources,[18].label,string,Source 4-1,,,,,
10.6.40.53,mnset,sources,[18].id,uuid,3f0f2b2d-efe9-243f-947c-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[18].device_id,uuid,76f5394c-5f7d-27bb-aad0-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[19].version,string,2,,,,,
10.6.40.53,mnset,sources,[19].label,string,Source 4-2,,,,,
10.6.40.53,mnset,sources,[19].id,uuid,1b5909d7-7ad5-15d3-8b01-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[19].device_id,uuid,76f5394c-5f7d-27bb-aad0-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[20].version,string,2,,,,,
10.6.40.53,mnset,sources,[20].label,string,Source 4-3,,,,,
10.6.40.53,mnset,sources,[20].id,uuid,7d9f938e-e6ff-3085-a1f9-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[20].device_id,uuid,76f5394c-5f7d-27bb-aad0-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[21].version,string,2,,,,,
10.6.40.53,mnset,sources,[21].label,string,Source 4-4,,,,,
10.6.40.53,mnset,sources,[21].id,uuid,6ebddc51-df64-44ad-81bf-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[21].device_id,uuid,76f5394c-5f7d-27bb-aad0-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[22].version,string,2,,,,,
10.6.40.53,mnset,sources,[22].label,string,Source 4-5,,,,,
10.6.40.53,mnset,sources,[22].id,uuid,ff7f63a5-79f1-2161-a3bf-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[22].device_id,uuid,76f5394c-5f7d-27bb-aad0-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[23].version,string,2,,,,,
10.6.40.53,mnset,sources,[23].label,string,Source 4-6,,,,,
10.6.40.53,mnset,sources,[23].id,uuid,f5e77831-ff6d-2603-9371-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[23].device_id,uuid,76f5394c-5f7d-27bb-aad0-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[24].version,string,2,,,,,
10.6.40.53,mnset,sources,[24].label,string,Source 5-1,,,,,
10.6.40.53,mnset,sources,[24].id,uuid,cf170c4b-fefd-2498-8f7f-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[24].device_id,uuid,fff56e39-ffbe-4ea5-a230-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[25].version,string,2,,,,,
10.6.40.53,mnset,sources,[25].label,string,Source 5-2,,,,,
10.6.40.53,mnset,sources,[25].id,uuid,59b5586f-f7af-4666-99a6-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[25].device_id,uuid,fff56e39-ffbe-4ea5-a230-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[26].version,string,2,,,,,
10.6.40.53,mnset,sources,[26].label,string,Source 5-3,,,,,
10.6.40.53,mnset,sources,[26].id,uuid,7e75043f-b5e7-1519-9126-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[26].device_id,uuid,fff56e39-ffbe-4ea5-a230-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[27].version,string,2,,,,,
10.6.40.53,mnset,sources,[27].label,string,Source 5-4,,,,,
10.6.40.53,mnset,sources,[27].id,uuid,ff97d1d5-544d-2676-a51c-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[27].device_id,uuid,fff56e39-ffbe-4ea5-a230-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[28].version,string,2,,,,,
10.6.40.53,mnset,sources,[28].label,string,Source 5-5,,,,,
10.6.40.53,mnset,sources,[28].id,uuid,ffefc7f7-7fc3-1202-9df3-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[28].device_id,uuid,fff56e39-ffbe-4ea5-a230-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[29].version,string,2,,,,,
10.6.40.53,mnset,sources,[29].label,string,Source 5-6,,,,,
10.6.40.53,mnset,sources,[29].id,uuid,9b5f786d-3955-1345-ad19-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[29].device_id,uuid,fff56e39-ffbe-4ea5-a230-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[30].version,string,2,,,,,
10.6.40.53,mnset,sources,[30].label,string,Source 6-1,,,,,
10.6.40.53,mnset,sources,[30].id,uuid,5ffd25a9-fcff-1a43-929a-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[30].device_id,uuid,77fa793e-7dfa-16f9-8f9a-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[31].version,string,2,,,,,
10.6.40.53,mnset,sources,[31].label,string,Source 6-2,,,,,
10.6.40.53,mnset,sources,[31].id,uuid,6fca0e02-7ff7-47aa-8237-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[31].device_id,uuid,77fa793e-7dfa-16f9-8f9a-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[32].version,string,2,,,,,
10.6.40.53,mnset,sources,[32].label,string,Source 6-3,,,,,
10.6.40.53,mnset,sources,[32].id,uuid,77fbdd7b-ffab-4ab0-af7f-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[32].device_id,uuid,77fa793e-7dfa-16f9-8f9a-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[33].version,string,2,,,,,
10.6.40.53,mnset,sources,[33].label,string,Source 6-4,,,,,
10.6.40.53,mnset,sources,[33].id,uuid,cfeb5ebb-5ffd-31c4-8af7-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[33].device_id,uuid,77fa793e-7dfa-16f9-8f9a-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[34].version,string,2,,,,,
10.6.40.53,mnset,sources,[34].label,string,Source 6-5,,,,,
10.6.40.53,mnset,sources,[34].id,uuid,6fdf9a67-fbff-2bc7-99dc-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[34].device_id,uuid,77fa793e-7dfa-16f9-8f9a-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[35].version,string,2,,,,,
10.6.40.53,mnset,sources,[35].label,string,Source 6-6,,,,,
10.6.40.53,mnset,sources,[35].id,uuid,5bb75837-4afd-1309-ac98-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[35].device_id,uuid,77fa793e-7dfa-16f9-8f9a-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[36].version,string,2,,,,,
10.6.40.53,mnset,sources,[36].label,string,Source 7-1,,,,,
10.6.40.53,mnset,sources,[36].id,uuid,a69dc52b-fecf-2e83-96c2-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[36].device_id,uuid,76aa32f2-3b5f-1339-a81d-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[37].version,string,2,,,,,
10.6.40.53,mnset,sources,[37].label,string,Source 7-2,,,,,
10.6.40.53,mnset,sources,[37].id,uuid,fff7f72e-fd2f-2961-ad89-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[37].device_id,uuid,76aa32f2-3b5f-1339-a81d-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[38].version,string,2,,,,,
10.6.40.53,mnset,sources,[38].label,string,Source 7-3,,,,,
10.6.40.53,mnset,sources,[38].id,uuid,5ffcf5b5-7ffd-315d-ad5b-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[38].device_id,uuid,76aa32f2-3b5f-1339-a81d-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[39].version,string,2,,,,,
10.6.40.53,mnset,sources,[39].label,string,Source 7-4,,,,,
10.6.40.53,mnset,sources,[39].id,uuid,ff1ed352-fffe-47a0-9e79-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[39].device_id,uuid,76aa32f2-3b5f-1339-a81d-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[40].version,string,2,,,,,
10.6.40.53,mnset,sources,[40].label,string,Source 7-5,,,,,
10.6.40.53,mnset,sources,[40].id,uuid,fa8b8012-e3df-2e1e-a275-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[40].device_id,uuid,76aa32f2-3b5f-1339-a81d-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[41].version,string,2,,,,,
10.6.40.53,mnset,sources,[41].label,string,Source 7-6,,,,,
10.6.40.53,mnset,sources,[41].id,uuid,efa6dd5a-fdfd-135a-8964-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[41].device_id,uuid,76aa32f2-3b5f-1339-a81d-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[42].version,string,2,,,,,
10.6.40.53,mnset,sources,[42].label,string,Source 8-1,,,,,
10.6.40.53,mnset,sources,[42].id,uuid,7cdf00e1-77b3-260f-8c55-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[42].device_id,uuid,3bedc49d-7f6f-2910-89ff-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[43].version,string,2,,,,,
10.6.40.53,mnset,sources,[43].label,string,Source 8-2,,,,,
10.6.40.53,mnset,sources,[43].id,uuid,5fbfdc7b-ffff-34ec-8770-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[43].device_id,uuid,3bedc49d-7f6f-2910-89ff-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[44].version,string,2,,,,,
10.6.40.53,mnset,sources,[44].label,string,Source 8-3,,,,,
10.6.40.53,mnset,sources,[44].id,uuid,17df723e-567b-1d6f-9610-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[44].device_id,uuid,3bedc49d-7f6f-2910-89ff-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[45].version,string,2,,,,,
10.6.40.53,mnset,sources,[45].label,string,Source 8-4,,,,,
10.6.40.53,mnset,sources,[45].id,uuid,c7b6be6c-7dbf-2dd1-afae-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[45].device_id,uuid,3bedc49d-7f6f-2910-89ff-40a36ba2100c,,,,,
10.6.40.53,mnset,sources,[46].version,string,2,,,,,
10.6.40.53,mnset,sources,[46].label,string,Source 8-5,,,,,
