ip,protocol,slot,oid,path,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
127.0.0.1,emberplus,0,1.3.1.2.9,dhs-emberplus-integration.nToN.labelsPrimary.sources.s-9,9,s-9,string,RW-,Pri-S9,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.5.2.2,dhs-emberplus-integration.nToN.targetParams.2.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.3.6.2.3,dhs-emberplus-integration.nToN.sourceParams.2.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.1.12,dhs-emberplus-integration.oneToOne.labelsSecondary.targets.t-12,12,t-12,string,RW-,Sec-T12,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.2.5.2.3,dhs-emberplus-integration.oneToOne.sourceParams.2.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.14.3,dhs-emberplus-integration.oneToN.sourceParams.14.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.1.2.5,dhs-emberplus-integration.dynamic.labelsPrimary.sources.s-5,5,s-5,string,RW-,Pri-S5,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.1.2.17,dhs-emberplus-integration.dynamic.labelsPrimary.sources.s-17,17,s-17,string,RW-,Pri-S17,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.1.1.1,dhs-emberplus-integration.nToN.params.1.1.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.1.5,dhs-emberplus-integration.oneToOne.labelsSecondary.targets.t-5,5,t-5,string,RW-,Sec-T5,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.4.2.1,dhs-emberplus-integration.nToN.params.4.2.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.5.7.1,dhs-emberplus-integration.nToN.params.5.7.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.11.4.1,dhs-emberplus-integration.nToN.params.11.4.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.2.2.31,dhs-emberplus-integration.dynamic.labelsSecondary.sources.s-31,31,s-31,string,RW-,Sec-S31,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.12.1.1,dhs-emberplus-integration.nToN.params.12.1.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.15.10.1,dhs-emberplus-integration.nToN.params.15.10.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.15.1,dhs-emberplus-integration.oneToN.sourceParams.15.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.5.3,dhs-emberplus-integration.oneToN.sourceParams.5.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.1.2.124,dhs-emberplus-integration.dynamic.labelsPrimary.sources.s-124,124,s-124,string,RW-,Pri-S124,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.11.8.1,dhs-emberplus-integration.nToN.params.11.8.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.1.2.64,dhs-emberplus-integration.dynamic.labelsPrimary.sources.s-64,64,s-64,string,RW-,Pri-S64,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.5.12.1,dhs-emberplus-integration.nToN.targetParams.12.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.1.2.12,dhs-emberplus-integration.nToN.labelsPrimary.sources.s-12,12,s-12,string,RW-,Pri-S12,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.3.13.1,dhs-emberplus-integration.nToN.params.3.13.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.1.1.5,dhs-emberplus-integration.nToN.labelsPrimary.targets.t-5,5,t-5,string,RW-,Pri-T5,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.1.1.13,dhs-emberplus-integration.nToN.labelsPrimary.targets.t-13,13,t-13,string,RW-,Pri-T13,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.12.3,dhs-emberplus-integration.oneToN.targetParams.12.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.5.11.1,dhs-emberplus-integration.nToN.targetParams.11.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.1.2,dhs-emberplus-integration.oneToN.targetParams.1.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.1.4.1.3,dhs-emberplus-integration.oneToN.targetParams.1.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.1.1.104,dhs-emberplus-integration.dynamic.labelsPrimary.targets.t-104,104,t-104,string,RW-,Pri-T104,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.3.1.1,dhs-emberplus-integration.nToN.params.3.1.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.4.4.1,dhs-emberplus-integration.nToN.params.4.4.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.2.14,dhs-emberplus-integration.oneToOne.labelsSecondary.sources.s-14,14,s-14,string,RW-,Sec-S14,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.5.104.2,dhs-emberplus-integration.dynamic.sourceParams.104.mode,2,mode,enum,RW-,0,,,,,,,manual|bypass|auto,,,,,,
127.0.0.1,emberplus,0,1.3.5.2.1,dhs-emberplus-integration.nToN.targetParams.2.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.1.1.9,dhs-emberplus-integration.oneToN.labelsPrimary.targets.t-9,9,t-9,string,RW-,Pri-T9,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.2.3,dhs-emberplus-integration.oneToN.targetParams.2.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.1.2.2,dhs-emberplus-integration.nToN.labelsPrimary.sources.s-2,2,s-2,string,RW-,Pri-S2,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.2.4.14.1,dhs-emberplus-integration.oneToOne.targetParams.14.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.5.1.2,dhs-emberplus-integration.nToN.targetParams.1.mode,2,mode,enum,RW-,0,,,,,,,manual|bypass|auto,,,,,,
127.0.0.1,emberplus,0,1.3.3.5.15.1,dhs-emberplus-integration.nToN.params.5.15.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.1.14,dhs-emberplus-integration.oneToOne.labelsSecondary.targets.t-14,14,t-14,string,RW-,Sec-T14,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.9.2,dhs-emberplus-integration.oneToN.sourceParams.9.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.3.3.7.7.1,dhs-emberplus-integration.nToN.params.7.7.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.1.15,dhs-emberplus-integration.oneToOne.labelsSecondary.targets.t-15,15,t-15,string,RW-,Sec-T15,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.1.1.14,dhs-emberplus-integration.oneToN.labelsPrimary.targets.t-14,14,t-14,string,RW-,Pri-T14,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.2.2.7,dhs-emberplus-integration.nToN.labelsSecondary.sources.s-7,7,s-7,string,RW-,Sec-S7,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.5.12.1,dhs-emberplus-integration.nToN.params.5.12.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.2.1.31,dhs-emberplus-integration.dynamic.labelsSecondary.targets.t-31,31,t-31,string,RW-,Sec-T31,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.5.8.2,dhs-emberplus-integration.nToN.targetParams.8.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.3.3.12.14.1,dhs-emberplus-integration.nToN.params.12.14.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.5.0.3,dhs-emberplus-integration.dynamic.sourceParams.0.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.5.86.3,dhs-emberplus-integration.dynamic.sourceParams.86.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.3.1,dhs-emberplus-integration.oneToN.sourceParams.3.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.8.7.1,dhs-emberplus-integration.nToN.params.8.7.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.9.12.1,dhs-emberplus-integration.nToN.params.9.12.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.1.2.10,dhs-emberplus-integration.oneToOne.labelsPrimary.sources.s-10,10,s-10,string,RW-,Pri-S10,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.7.1,dhs-emberplus-integration.oneToN.sourceParams.7.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.5.127.2,dhs-emberplus-integration.dynamic.sourceParams.127.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.3.6.0.2,dhs-emberplus-integration.nToN.sourceParams.0.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.1.1.1.7,dhs-emberplus-integration.oneToN.labelsPrimary.targets.t-7,7,t-7,string,RW-,Pri-T7,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.0.12.1,dhs-emberplus-integration.nToN.params.0.12.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.5.11.2,dhs-emberplus-integration.oneToOne.sourceParams.11.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.2.4.15.2,dhs-emberplus-integration.oneToOne.targetParams.15.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.1.5.1.1,dhs-emberplus-integration.oneToN.sourceParams.1.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.2.2.73,dhs-emberplus-integration.dynamic.labelsSecondary.sources.s-73,73,s-73,string,RW-,Sec-S73,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.7.6.1,dhs-emberplus-integration.nToN.params.7.6.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.6.0.1,dhs-emberplus-integration.nToN.params.6.0.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.1.8,dhs-emberplus-integration.oneToOne.labelsSecondary.targets.t-8,8,t-8,string,RW-,Sec-T8,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.12.2.1,dhs-emberplus-integration.nToN.params.12.2.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.9.10.1,dhs-emberplus-integration.nToN.params.9.10.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.4.42.3,dhs-emberplus-integration.dynamic.targetParams.42.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.2.2.2,dhs-emberplus-integration.nToN.labelsSecondary.sources.s-2,2,s-2,string,RW-,Sec-S2,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.5.99.2,dhs-emberplus-integration.dynamic.sourceParams.99.mode,2,mode,enum,RW-,0,,,,,,,manual|bypass|auto,,,,,,
127.0.0.1,emberplus,0,1.3.5.3.1,dhs-emberplus-integration.nToN.targetParams.3.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.13.8.1,dhs-emberplus-integration.nToN.params.13.8.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.9.14.1,dhs-emberplus-integration.nToN.params.9.14.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.1.1.3,dhs-emberplus-integration.oneToN.labelsPrimary.targets.t-3,3,t-3,string,RW-,Pri-T3,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.6.5.1,dhs-emberplus-integration.nToN.sourceParams.5.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.7.15.1,dhs-emberplus-integration.nToN.params.7.15.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.4.5.1,dhs-emberplus-integration.oneToOne.targetParams.5.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.6.15.2,dhs-emberplus-integration.nToN.sourceParams.15.mode,2,mode,enum,RW-,0,,,,,,,bypass|auto|manual,,,,,,
127.0.0.1,emberplus,0,1.3.6.10.1,dhs-emberplus-integration.nToN.sourceParams.10.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.5.3,dhs-emberplus-integration.oneToN.targetParams.5.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.5.2,dhs-emberplus-integration.oneToN.sourceParams.5.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.4.2.1.99,dhs-emberplus-integration.dynamic.labelsSecondary.targets.t-99,99,t-99,string,RW-,Sec-T99,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.1.1.0,dhs-emberplus-integration.dynamic.labelsPrimary.targets.t-0,0,t-0,string,RW-,Pri-T0,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.2.1.1.12,dhs-emberplus-integration.oneToOne.labelsPrimary.targets.t-12,12,t-12,string,RW-,Pri-T12,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.2.1.8,dhs-emberplus-integration.oneToN.labelsSecondary.targets.t-8,8,t-8,string,RW-,Sec-T8,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.4.1,dhs-emberplus-integration.oneToN.targetParams.4.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.2.1.111,dhs-emberplus-integration.dynamic.labelsSecondary.targets.t-111,111,t-111,string,RW-,Sec-T111,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.10.1,dhs-emberplus-integration.oneToN.sourceParams.10.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.1.2.119,dhs-emberplus-integration.dynamic.labelsPrimary.sources.s-119,119,s-119,string,RW-,Pri-S119,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.10.1.1,dhs-emberplus-integration.nToN.params.10.1.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.5.13.2,dhs-emberplus-integration.oneToOne.sourceParams.13.mode,2,mode,enum,RW-,0,,,,,,,manual|bypass|auto,,,,,,
127.0.0.1,emberplus,0,1.2.4.5.3,dhs-emberplus-integration.oneToOne.targetParams.5.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.7.2,dhs-emberplus-integration.oneToN.targetParams.7.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.4.1.1.86,dhs-emberplus-integration.dynamic.labelsPrimary.targets.t-86,86,t-86,string,RW-,Pri-T86,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.5.5.2,dhs-emberplus-integration.dynamic.sourceParams.5.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.2.5.5.1,dhs-emberplus-integration.oneToOne.sourceParams.5.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.2.10,dhs-emberplus-integration.oneToOne.labelsSecondary.sources.s-10,10,s-10,string,RW-,Sec-S10,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.8.2,dhs-emberplus-integration.oneToN.sourceParams.8.mode,2,mode,enum,RW-,0,,,,,,,bypass|auto|manual,,,,,,
127.0.0.1,emberplus,0,1.3.5.3.3,dhs-emberplus-integration.nToN.targetParams.3.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
